europe_country_de
wp;name;capital;latitude;longitude;wp_en
Albanien;Republik Albanien;Tirana;41.31666667;19.81666667;Albania
Andorra;Fürstentum Andorra;Andorra la Vella;42.5;1.516666667;Andorra
Armenien;Republik Armenien;Jerevan;40.18333333;44.51666667;Armenia
Österreich;Republick Österreich;Wien;48.2;16.35;Austria
Aserbaidschan;Republik Aserbaidschan;Baku;40.41666667;49.83333333;Azerbaidjan
Weißrussland;Republik Belarus;Minsk;53.91666667;27.55;Belarus
Belgien;Königreich Belgien;Brüssel;50.85;4.35;Belgium
Bosnien;Bosnien und Herzegowina;Sarajevo;43.86666667;18.41666667;Bosnia-Herzegovina
Bulgarien;Republik Bulgarien;Sofia;42.68333333;23.31666667;Bulgaria
Kroatien;Republik Kroatien;Zagreb;45.8;16.0;Croatia
Zypern;Republik Zypern;Nikosia;35.16666667;33.36666667;Cyprus
Tschechien;Tschechische Republik;Prag;50.08333333;14.46666667;Czechia
Dänemark;Königreich Dänemark;Kopenhagen;55.71666667;12.56666667;Denmark
Estland;Republik Estland;Tallinn;59.41666667;24.75;Estonia
Finnland;Republik Finnland;Helsinki;60.16666667;24.93333333;Finland
Frankreich;Französische Republik;Paris;48.85;2.35;France
Georgien;Republik Georgien;Tiflis;41.71666667;44.78333333;Georgia
Deutschland;Bundesrepublik Deutschland;Berlin;52.51666667;13.38333333;Germany
Griechenland;Hellenische Republik;Athen;37.96666667;23.71666667;Greece
Ungarn;Ungarn;Budapest;47.43333333;19.25;Hungary
Island;Island;Reykjavík;64.13333333;-21.93333333;Iceland
Irland;Republik Irland;Dublin;53.34416667;-6.2675;Ireland
Italien;Italienische Republik;Rom;41.9;12.48333333;Italy
Kasachstan;Republik Kasachstan;Nur-Sultan;51.16666667;71.43333333;Kazakhstan
Kosovo;Republik Kosovo;Pristina;42.66666667;21.16666667;Kosovo
Lettland;Republik Lettland;Riga;56.95;24.1;Latvia
Litauen;Republik Litauen;Vilnius;54.68333333;25.31666667;Lithuania
Luxemburg;Großherzogtum Luxemburg;Luxembourg Stadt;49.81444444;6.131666667;Luxembourg
Malta;Republik Malta;Valletta;35.9;14.51666667;Malta
Moldavien;Republik Moldau;Chisinau;47.0;28.91666667;Moldova
Monaco;Fürstentum Monaco;Monaco;43.73333333;7.416666667;Monaco
Montenegro;Republik Montenegro;Podgorica;42.78333333;19.46666667;Montenegro
Niederlande;Niederlande;Amsterdam;52.36666667;4.883333333;Netherlands
Nordmazedonien;Republik Nordmazedonien;Skopje;42.0;21.43333333;Macedonia
Norwegen;Königreich Norwegen;Oslo;59.93333333;10.68333333;Norway
Polen;Republik Polen;Warschau;52.21666667;21.03333333;Poland
Portugal;Portugiesische Republik;Lissabon;38.76666667;-9.15;Portugal
Rumänien;Rumänien;Bukarest;44.41666667;26.1;Romania
Russland;Russische Föderation;Moskau;55.75;37.61666667;Russia
San Marino;Republik San Marino;San Marino;43.93333333;12.43333333;San Marino
Serbien;Republik Serbien;Belgrad;44.8;20.46666667;Serbia
Slovakien;Slovakische Republik;Bratislava;48.15;17.11666667;Slovakia
Slovenien;Republik Slovenien;Ljubljana;46.05;14.5;Slovenia
Spanien;Königreich Spanien;Madrid;40.43333333;-3.7;Spain
Schweden;Königreich Schweden;Stockholm;59.35;18.06666667;Sweden
Schweiz;Schweizerische Eidgenossenschaft;de facto;46.95;7.45;Switzerland
Türkei;Republik Türkei;Ankara;40.0;33.0;Turkey
Ukraine;Ukraine;Kiev;50.45;30.5;Ukraine
Vereinigtes Königreich;Vereinigtes Königreich von Großbritannien und Nordirland;London;51.5;-0.116666667;United Kingdom
Vatikan Stadt;Staat der Vatikanstadt;Cita del Vaticano;41.90333333;12.45333333;Vatican City
Liechtenstein;Fürstentum Liechtenstein;Vaduz;47.16666667;9.509722222;Liechtenstein
