wp,name,capital,latitude,longitude,wp_en
阿尔巴尼亚,阿尔巴尼亚共和国,地拉那,41.31666667,19.81666667,Albania
安道尔,安道尔公国,安道尔城,42.5,1.516666667,Andorra
亚美尼亚,亚美尼亚共和国,埃里温,40.18333333,44.51666667,Armenia
奥地利,奥地利共和国,维也纳,48.2,16.35,Austria
阿塞拜疆,阿塞拜疆共和国,巴库,40.41666667,49.83333333,Azerbaidjan
白俄罗斯,白俄罗斯共和国,明斯克,53.91666667,27.55,Belarus
比利时,比利时王国,布鲁塞尔,50.85,4.35,Belgium
波黑,波斯尼亚和黑塞哥维那,萨拉热窝,43.86666667,18.41666667,Bosnia-Herzegovina
保加利亚,保加利亚共和国,索菲亚,42.68333333,23.31666667,Bulgaria
克罗地亚,克罗地亚共和国,萨格勒布,45.8,16,Croatia
塞浦路斯,塞浦路斯共和国,尼科西亚,35.16666667,33.36666667,Cyprus
捷克,捷克共和国,布拉格,50.08333333,14.46666667,Czechia
丹麦,丹麦王国,哥本哈根,55.71666667,12.56666667,Denmark
爱沙尼亚,爱沙尼亚共和国,塔林,59.41666667,24.75,Estonia
芬兰,芬兰共和国,赫尔辛基,60.16666667,24.93333333,Finland
法国,法兰西共和国,巴黎,48.85,2.35,France
格鲁吉亚,格鲁吉亚,第比利斯,41.71666667,44.78333333,Georgia
德国,德意志联邦共和国,柏林,52.51666667,13.38333333,Germany
希腊,希腊共和国,雅典,37.96666667,23.71666667,Greece
匈牙利,匈牙利,布达佩斯,47.43333333,19.25,Hungary
冰岛,冰岛,雷克雅未克,64.13333333,-21.93333333,Iceland
爱尔兰,爱尔兰共和国,都柏林,53.34416667,-6.2675,Ireland
意大利,意大利共和国,罗马,41.9,12.48333333,Italy
哈萨克斯坦,哈萨克斯坦共和国,努尔-苏丹,51.16666667,71.43333333,Kazakhstan
科索沃,科索沃共和国,普里什蒂纳,42.66666667,21.16666667,Kosovo
拉托维亚,拉托维亚共和国,里加,56.95,24.1,Latvia
立陶宛,立陶宛共和国,维尔纽斯,54.68333333,25.31666667,Lithuania
卢森堡,卢森堡大公国,卢森堡,49.81444444,6.131666667,Luxembourg
马耳他,马耳他共和国,瓦莱塔,35.9,14.51666667,Malta
摩尔多瓦,摩尔多瓦共和国,基希讷乌,47,28.91666667,Moldova
摩纳哥,摩纳哥公国,摩纳哥,43.73333333,7.416666667,Monaco
黑山,黑山,波德戈里察,42.78333333,19.46666667,Montenegro
荷兰,荷兰,阿姆斯特丹,52.36666667,4.883333333,Netherlands
北马其顿,北马其顿共和国,斯科普里,42,21.43333333,Macedonia
挪威,挪威王国,奥斯陆,59.93333333,10.68333333,Norway
波兰,波兰共和国,华沙,52.21666667,21.03333333,Poland
葡萄牙,葡萄牙共和国,里斯本,38.76666667,-9.15,Portugal
罗马尼亚,罗马尼亚,布加勒斯特,44.41666667,26.1,Romania
俄罗斯,俄罗斯联邦,莫斯科,55.75,37.61666667,Russia
圣马力诺,圣马力诺共和国,圣马力诺,43.93333333,12.43333333,San Marino
塞尔维亚,塞尔维亚共和国,贝尔格莱德,44.8,20.46666667,Serbia
斯洛伐克,斯洛伐克共和国,布拉迪斯拉发,48.15,17.11666667,Slovakia
斯洛文尼亚,斯洛文尼亚共和国,卢布尔雅那,46.05,14.5,Slovenia
西班牙,西班牙王国,马德里,40.43333333,-3.7,Spain
瑞典,瑞典王国,斯德哥尔摩,59.35,18.06666667,Sweden
瑞士,瑞士联邦,伯尔尼,46.95,7.45,Switzerland
土耳其,土耳其共和国,安卡拉,40,33,Turkey
乌克兰,乌克兰,基辅,50.45,30.5,Ukraine
英国,大不列颠及北爱尔兰联合王国,伦敦,51.5,-0.116666667,United Kingdom
梵蒂冈,梵蒂冈城国,梵蒂冈,41.90333333,12.45333333,Vatican City
列支敦士登,列支敦士登公国,瓦杜兹,47.16666667,9.509722222,Liechtenstein
